item,itemLabel,parti,partiLabel
http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q672926,National Front
http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q684909,Eidgenössische Sammlung
http://www.wikidata.org/entity/Q120229,Robert Tobler,http://www.wikidata.org/entity/Q13142801,Q13142801
http://www.wikidata.org/entity/Q121118,Gabriel Despland,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q122856,Joseph Ackermann,http://www.wikidata.org/entity/Q667725,Christian Social Party
http://www.wikidata.org/entity/Q125303,Dewet Buri,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q1758783,Paul Schib,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q62007471,Riccardo Rossi,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1283267,Ernst Rodel,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1290496,Eduard Zellweger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1292447,Fritz Grütter,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15621580,Jacques Chamorel,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q2501257,Urs Dietschi,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1447990,Franz Landolt,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1579473,Hans Fischer,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q76341200,Jules Grandjean,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q115622,Willy Spühler,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q116107,Jean Bourgknecht,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q119847,Jean Peitrequin,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q125688,Alfred Borel,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q62056059,Adolphe Graedel,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15438259,Arnold Gfeller,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q70018386,Hans Rüegg,http://www.wikidata.org/entity/Q681843,Democratic Party
http://www.wikidata.org/entity/Q99305266,Robert Bühler,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q23636365,René Villard,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1586125,Mario Agustoni,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2476343,Ulrich Meyer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1079133,Christian Bühler,http://www.wikidata.org/entity/Q681843,Democratic Party
http://www.wikidata.org/entity/Q1492591,Gallus Berger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q121142,Alois Grendelmeier,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q118284,Paul Chaudet,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q125132,Peter Dürrenmatt,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q2543940,Walter Degen,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q1449052,Werner Stocker,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1535528,Hans Stiffler,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1908456,Mathias Eggenberger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15410824,Jakob Bächtold,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q2541732,Waldo Riva,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q99305391,Julien Girard,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q1477471,Alix Jaccard,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2874984,Aymon de Senarclens,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q3426392,René Jacquod,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1610672,Hermann Berger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1754180,Walther Leber,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q69624589,Hans Düby,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2156979,Robert Eibel,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1360527,Ernst Weber,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q78071776,Manfred Stadlin,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q23197274,Jean Vincent,http://www.wikidata.org/entity/Q661771,Swiss Party of Labour
http://www.wikidata.org/entity/Q115536,Roger Bonvin,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1892948,Marcel Brawand,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q125578,Alfred Rasser,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q363099,Adolf Landolt,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2093474,Pierre Glasson,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2173417,Rudolf Meier,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q15621593,Willi Rohner,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2640592,Aleardo Pini,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q760786,August Albrecht,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1478953,Alfred Ackermann,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q99305324,Otto Schütz,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q120363,Pierre Graber,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q120714,Jean-Pierre Pradervand,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q123454,Max Bill,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q1704834,Josef Hofstetter,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1734508,Walter König,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q1892932,Marcel Beck,http://www.wikidata.org/entity/Q681843,Democratic Party
http://www.wikidata.org/entity/Q32606755,Franco Maspoli,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q49138539,Alfred Schaller,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1173672,David Baumgartner,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15621513,Max Schmidheiny,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2488801,Adolf Blaser,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1362787,Erwin A. Lang,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1409598,Konrad Hess,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q23888175,Hans Weber,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q1673126,Walter König,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1679179,Jakob Käch,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q120900,Erwin Jaeckle,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q121808,Henri Badoux,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2134064,Raymond Bertholet,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1335932,Emil Bösch,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2736388,Josef Grolimund,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1508957,Georges Jaccottet,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q1523076,Hans Albrecht,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1778070,Raymond Deonna,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q2039809,Otto Locher,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q2437569,Erwin Schneider,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1358482,Ernst Haller,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2806513,Walter Raissig,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q23059931,Otto Wenger,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1512957,Gerhart Schürch,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q116541,James Schwarzenbach,http://www.wikidata.org/entity/Q660046,Swiss Democrats
http://www.wikidata.org/entity/Q120625,Louis Guisan,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q120873,Albert Mossdorf,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q122438,Robert Reimann,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q72075527,Otto Zwygart,http://www.wikidata.org/entity/Q667718,Evangelical People's Party of Switzerland
http://www.wikidata.org/entity/Q2637566,Albert Bauer,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q80032354,Heinrich Caspar Müller,http://www.wikidata.org/entity/Q660046,Swiss Democrats
http://www.wikidata.org/entity/Q80032354,Heinrich Caspar Müller,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q16101728,Otto Bretscher,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q16101728,Otto Bretscher,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q2848606,André Sandoz,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1783485,Walter Allgöwer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q521581,André Martin,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q51879989,Alfred Gehrig,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q2546149,Walter Schmidt,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1357438,Ernst Bachmann,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q78072982,Hanny Thalmann,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q3372302,Paul Torche,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1584551,Harald Huber,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q73909077,Liselotte Spreng,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q78060545,Gaston Clottu,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q120121,Olivier Reverdin,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q15621706,Richard Müller,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2517515,Jakob Langenauer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15907030,Joachim Weber,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1580279,Hans Hofer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1582102,Hans Roth,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1582102,Hans Roth,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q118196,Nello Celio,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q119921,Max Aebischer,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q2173917,Rudolf Suter,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q825483,Bernhard König,http://www.wikidata.org/entity/Q2145393,Republican Movement
http://www.wikidata.org/entity/Q15621569,Roger Dafflon,http://www.wikidata.org/entity/Q661771,Swiss Party of Labour
http://www.wikidata.org/entity/Q2543559,Walter Baumann,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q2543559,Walter Baumann,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q2544436,Walter Gerosa,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q2644613,Alfred Abegg,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q78074613,Hermann Wanner,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3087940,Fritz Meier,http://www.wikidata.org/entity/Q660046,Swiss Democrats
http://www.wikidata.org/entity/Q3309961,Michel Jaccard,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1515691,Gertrud Spiess,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1558452,Otto Nauer,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q118201,Georges-André Chevallaz,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1903085,Martha Ribi,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q55675621,Max Imboden,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2038696,Otto Fischer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1001355,Ettore Tenchio,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1298741,Hans Burren,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q1313012,Alfred Hummler,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15436325,Casimir Huber,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q15621554,Walter Bräm,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q1394192,Louis Rippstein,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q2644787,Alfred Bussey,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3087758,Friedrich Salzmann,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q1579071,Hans Conzett,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1579071,Hans Conzett,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q125343,Raymond Broger,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q68705914,Edmund Wyss,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2079393,Peter Roten,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1125816,Otto Keller,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15436988,Alois Hürlimann,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q15621711,Oscar Mayer,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2562019,Werner Meier,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1411926,Theodor Kloter,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q2744846,Simon Kohler,http://www.wikidata.org/entity/Q13124,Free Democratic Party
http://www.wikidata.org/entity/Q2744846,Simon Kohler,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2847509,André Marc Jean Chavanne,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3037977,Robert Bauder,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3371296,Paul Genoud,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q23062825,Anton Muheim,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q74448938,Georg Brosi,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q115533,Rudolf Gnägi,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q120668,Leo Schürmann,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q120748,Reynold Tschäppät,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q274281,Édouard Debétaz,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q15621555,Werner Reich,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1447515,Franz Josef Kurmann,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q2645115,Alfred Heer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2655204,Arthur Villard,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1598706,Heinrich Schalcher,http://www.wikidata.org/entity/Q667718,Evangelical People's Party of Switzerland
http://www.wikidata.org/entity/Q1664210,Innozenz Lehner,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1668160,Kaspar Meier,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q96381133,Yves Maitre,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q115546,Willi Ritschard,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1252501,Jakob Schutz,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1582598,Hans Stadelmann,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q120794,Sigmund Widmer,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q2134290,Raymund Gamma,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1406713,Gion Condrau,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1747909,Raymond Baudère,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1772049,Albin Breitenmoser,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q677418,Armand Forel,http://www.wikidata.org/entity/Q661771,Swiss Party of Labour
http://www.wikidata.org/entity/Q677684,Armand Magnin,http://www.wikidata.org/entity/Q661771,Swiss Party of Labour
http://www.wikidata.org/entity/Q15621572,Enrico Franzoni,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q2547232,Walther Hofer,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q2547232,Walther Hofer,http://www.wikidata.org/entity/Q477228,"Party of Farmers, Traders and Independents"
http://www.wikidata.org/entity/Q1331810,Leo Weber,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1338529,Luigi Generali,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1357567,Ernst Bieri,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3174323,Jean Riesen,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q25714572,Anton Stadler,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1871806,Louis Lang,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1918156,Meinrad Schär,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q2161798,Roger Mugny,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1039793,Carl Miville-Seiler,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1096488,Claude Berger,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1325226,Martin Burckhardt,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q15621583,Karl Flubacher,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1429946,Florian Vetsch,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q3170482,Jean Babel,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q3419213,Raoul Kohler,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1523927,Gilbert Bächtold,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1330086,Elisabeth Lardelli,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q65496832,Walter Augsburger,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1944817,Monique Bauer-Lagier,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q2158296,Robert Moser,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2201289,Arthur Bachmann,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1096522,Claude Bonnard,http://www.wikidata.org/entity/Q667785,Liberal Party of Switzerland
http://www.wikidata.org/entity/Q1329797,Elisabeth Blunschy,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1466820,Fritz Hösli,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1467270,Fritz Lanz,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q78069206,Fritz Räz-Rutsch,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q1582131,Hans Rudolf Meyer,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1582821,Hans Ulrich Graf,http://www.wikidata.org/entity/Q385258,Swiss People's Party
http://www.wikidata.org/entity/Q118282,Rudolf Friedrich,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q120576,Tilo Frey,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1706899,Joseph Egli,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q1976903,Nelly Wicky,http://www.wikidata.org/entity/Q661771,Swiss Party of Labour
http://www.wikidata.org/entity/Q2488333,Albert Sigrist,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q20676152,Rolf Weber,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q1468608,Fritz Tanner,http://www.wikidata.org/entity/Q550295,Ring of Independents
http://www.wikidata.org/entity/Q15867890,Thomas Fraefel,http://www.wikidata.org/entity/Q303745,Social Democratic Party of Switzerland
http://www.wikidata.org/entity/Q16014022,Donat Cadruvi,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q17305203,Peter Grünig,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q17579889,Walter Rohner,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q2646098,Alfred Weber,http://www.wikidata.org/entity/Q13850128,Free Democratic Party of Switzerland
http://www.wikidata.org/entity/Q2834822,Alfons Müller-Marzohl,http://www.wikidata.org/entity/Q659461,Christian Democratic People's Party
http://www.wikidata.org/entity/Q3184790,Joseph Cottet,http://www.wikidata.org/entity/Q385258,Swiss People's Party
