item;itemLabel;;;;;;;
http://www.wikidata.org/entity/Q122063;Elisabeth Kopp;http://www.wikidata.org/entity/Q6581072;1936;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q69233;Münsterlingen
http://www.wikidata.org/entity/Q535007;Angeline Fankhauser;http://www.wikidata.org/entity/Q6581072;1936;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q66601;Wattwil
http://www.wikidata.org/entity/Q1817719;Leni Robert;http://www.wikidata.org/entity/Q6581072;1936;http://www.wikidata.org/entity/Q659739;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q68959;Thalwil
http://www.wikidata.org/entity/Q1907718;Massimo Pini;http://www.wikidata.org/entity/Q6581097;1936;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q652;Italian;http://www.wikidata.org/entity/Q11939;Stein am Rhein
http://www.wikidata.org/entity/Q1288224;Jean Cavadini;http://www.wikidata.org/entity/Q6581097;1936;http://www.wikidata.org/entity/Q667785;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q70503;Lignerolle
http://www.wikidata.org/entity/Q120924;Werner Carobbio;http://www.wikidata.org/entity/Q6581097;1936;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q652;Italian;http://www.wikidata.org/entity/Q14570;Horw
http://www.wikidata.org/entity/Q120924;Werner Carobbio;http://www.wikidata.org/entity/Q6581097;1936;http://www.wikidata.org/entity/Q3366732;http://www.wikidata.org/entity/Q652;Italian;http://www.wikidata.org/entity/Q628354;Fleurier
http://www.wikidata.org/entity/Q2697855;Gabriel Theubet;http://www.wikidata.org/entity/Q6581097;1936;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q1780;Bratislava
http://www.wikidata.org/entity/Q1673317;Irène Gardiol;http://www.wikidata.org/entity/Q6581072;1937;http://www.wikidata.org/entity/Q659739;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q68248;Grenchen
http://www.wikidata.org/entity/Q1081950;Christian Speck;http://www.wikidata.org/entity/Q6581097;1937;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q70708;Schwarzenburg
http://www.wikidata.org/entity/Q2416875;Theo Fischer;http://www.wikidata.org/entity/Q6581097;1937;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q66208;Frutigen
http://www.wikidata.org/entity/Q16979796;Victor Ruffy;http://www.wikidata.org/entity/Q6581097;1937;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q7144;Rickenbach
http://www.wikidata.org/entity/Q110779910;Rose-Marie Ducrot;http://www.wikidata.org/entity/Q6581072;1937;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q64627;Männedorf
http://www.wikidata.org/entity/Q93495767;Käthi Bangerter;http://www.wikidata.org/entity/Q6581072;1937;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q2254412;Schwarzsee
http://www.wikidata.org/entity/Q18599248;Heidi Deneys;http://www.wikidata.org/entity/Q6581072;1937;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q67145;Bauma
http://www.wikidata.org/entity/Q120061;Vreni Spoerry;http://www.wikidata.org/entity/Q6581072;1938;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q117181;Elbistan
http://www.wikidata.org/entity/Q1632478;Pierre Aguet;http://www.wikidata.org/entity/Q6581097;1938;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q14552;Flühli
http://www.wikidata.org/entity/Q496225;Andreas Blum;http://www.wikidata.org/entity/Q6581097;1938;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q689582;La Tour-de-Trême
http://www.wikidata.org/entity/Q1699373;Lisbeth Fehr;http://www.wikidata.org/entity/Q6581072;1938;http://www.wikidata.org/entity/Q151768;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q648;Lille
http://www.wikidata.org/entity/Q1098255;Claudius Alder;http://www.wikidata.org/entity/Q6581097;1938;http://www.wikidata.org/entity/Q550295;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q66132;Erlenbach im Simmental
http://www.wikidata.org/entity/Q2501549;Ursula Bäumlin;http://www.wikidata.org/entity/Q6581072;1938;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q132404;Bourges
http://www.wikidata.org/entity/Q2850749;Anne-Catherine Menétrey;http://www.wikidata.org/entity/Q6581072;1938;http://www.wikidata.org/entity/Q659739;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q70557;Denezy
http://www.wikidata.org/entity/Q16901346;Roland Ostermann;http://www.wikidata.org/entity/Q6581097;1938;http://www.wikidata.org/entity/Q659739;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q69530;Chêne-Bougeries
http://www.wikidata.org/entity/Q17194429;Paul Zbinden;http://www.wikidata.org/entity/Q6581097;1938;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q1335;Montevideo
http://www.wikidata.org/entity/Q110811194;Gilbert Debons;http://www.wikidata.org/entity/Q6581097;1938;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q66532;Bubendorf
http://www.wikidata.org/entity/Q118199;Flavio Cotti;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q69290;Genolier
http://www.wikidata.org/entity/Q118199;Flavio Cotti;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q12146;Basel-Landschaft
http://www.wikidata.org/entity/Q118199;Flavio Cotti;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q652;Italian;http://www.wikidata.org/entity/Q68210;Adliswil
http://www.wikidata.org/entity/Q118199;Flavio Cotti;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q1860;English;http://www.wikidata.org/entity/Q1486;Buenos Aires
http://www.wikidata.org/entity/Q120736;Verena Grendelmeier;http://www.wikidata.org/entity/Q6581072;1939;http://www.wikidata.org/entity/Q550295;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q67951;Dielsdorf
http://www.wikidata.org/entity/Q1567555;Rosmarie Zapfl-Helbling;http://www.wikidata.org/entity/Q6581072;1939;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q66884;Schönenwerd
http://www.wikidata.org/entity/Q121257;Dario Robbiani;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q652;Italian;http://www.wikidata.org/entity/Q64051;Monthey
http://www.wikidata.org/entity/Q2032735;Oscar Fritschi;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q68150;Altdorf
http://www.wikidata.org/entity/Q822356;Bernard Comby;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q15788657;Billens
http://www.wikidata.org/entity/Q2073949;Peter Bircher;http://www.wikidata.org/entity/Q6581097;1939;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q29015165;Ilanz
http://www.wikidata.org/entity/Q105750072;Madeleine Bernasconi;http://www.wikidata.org/entity/Q6581072;1939;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q136217;Erzincan
http://www.wikidata.org/entity/Q120639;Peter Tschopp;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q69819;Dürrenroth
http://www.wikidata.org/entity/Q1582128;Hans Rudolf Gysin;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;http://www.wikidata.org/entity/Q70133;Comano
http://www.wikidata.org/entity/Q121833;Gilles Petitpierre;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q67679;Monteggio
http://www.wikidata.org/entity/Q122935;André Reymond;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q150;French;http://www.wikidata.org/entity/Q10341;Jegenstorf
http://www.wikidata.org/entity/Q123857;Christoph Blocher;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q1261304;Ulrich Blatter;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q1288249;Eduard Engelberger;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q1451108;François Loeb;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q1489634;Gabriel Roy;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q3366188;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q2475778;Ulrich Fischer;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q18536320;Rudolf Imhof;http://www.wikidata.org/entity/Q6581097;1940;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q118362;Otto Ineichen;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q118362;Otto Ineichen;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q387066;Swiss German;;
http://www.wikidata.org/entity/Q120021;Yves Christen;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q120053;Christiane Langenberger;http://www.wikidata.org/entity/Q6581072;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q23017410;Lukas Fierz;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q659739;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q121843;Hans Widmer;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q122033;Franz Jaeger;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q550295;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q125446;Dumeni Columberg;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q605874;Kaspar Villiger;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q1734542;Ursula Koch;http://www.wikidata.org/entity/Q6581072;1941;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q1133326;Cornelia Füeg;http://www.wikidata.org/entity/Q6581072;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q121106;Ruedi Aeschbacher;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q667718;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q1698211;Johannes Randegger;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q2965316;Christian Grobet;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q2602315;Yvette Jaggi;http://www.wikidata.org/entity/Q6581072;1941;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q110819228;Yves Guisan;http://www.wikidata.org/entity/Q6581097;1941;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q18412785;Ruth-Gaby Vermot-Mangold;http://www.wikidata.org/entity/Q6581072;1941;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q116847;Francis Matthey;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q117117;Maximilian Reimann;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q117117;Maximilian Reimann;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q387066;Swiss German;;
http://www.wikidata.org/entity/Q115513;Pascal Couchepin;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q115531;Adolf Ogi;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q118324;Alexander Baumann;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q120654;Franco Cavalli;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q120654;Franco Cavalli;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q303745;http://www.wikidata.org/entity/Q652;Italian;;
http://www.wikidata.org/entity/Q120703;Fulvio Caccia;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q120799;Arthur Loepfe;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q120799;Arthur Loepfe;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q387066;Swiss German;;
http://www.wikidata.org/entity/Q122084;Duri Bezzola;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q375538;Adriano Cavadini;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q652;Italian;;
http://www.wikidata.org/entity/Q1284075;Edgar Oehler;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q119484;Theophil Pfister;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q119063;Jacques-Simon Eggly;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q667785;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q119418;François Lachat;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q150;French;;
http://www.wikidata.org/entity/Q2073833;Peter Baumberger;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q659461;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q2454519;Trix Heberlein;http://www.wikidata.org/entity/Q6581072;1942;http://www.wikidata.org/entity/Q13850128;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q18683264;Franz Hildbrand;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q667725;http://www.wikidata.org/entity/Q188;German;;
http://www.wikidata.org/entity/Q3159705;Jacques Pagan;http://www.wikidata.org/entity/Q6581097;1942;http://www.wikidata.org/entity/Q385258;http://www.wikidata.org/entity/Q150;French;;
